Row ID,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK,Angelabury,Oklahoma,North,Office Supplies,Chairs,degree DarkSlateBlue,1655.41,5,0.44,367.24,7/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Canada,North Tanyaville,Washington,East,Furniture,Art,much PaleTurquoise,1741.31,4,0.4,295.31,3/27/2016,,,,WHAT WERE TOTAL SALES UNDER EACH CATEGORY OF ITEM?,,,,,,,,,,,,,,WHICH WERE TOP 3 STATES FROM EACH REGION THAT MADE HIGHEST AVAERAGE PROFIT?,,,,,,,,,,,,,,WHAT IS PERCENTAGE CONTRIBUTION OF EACH SUB CATEGORY OF PRODUCT UNDER EACH CATEGORY TO THE TOTAL SALES?,,,,,,,,,,,,,,,,WHAT WERE ITEMS SOLD BY EACH SUB-CATEGORY UNDER EACH CATEGORY?,,,,,,,,,,,,,,,FIND SALES MADE IN EACH QUARTER OF 2016 FOR ALL REGIONS.,,,,,,,,,,,,,,,,,,,,FIND PROFIT MADE IN EACH YEAR FOR ALL CATEGORIES OF PRODUCTS IN EAST AND WEST REGION?,,,,,
3,Canada,Edwardsbury,Kentucky,West,Technology,Tables,each SeaGreen,1830.15,3,0,387.9,4/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,India,New Elizabethberg,Colorado,Central,Office Supplies,Paper,case BlueViolet,545.91,8,0.16,24.49,4/22/2016,,,,Category,Sum of Sales,,,,,,,,,,,,,Region,State,Average of Profit,,,,,,,,,,,,Category,Sub-Category,Sum of Sales,,,,,,,,,,,,,,Category,Sub-Category,Sum of Quantity,,,,,,,,,,,,,Sum of Sales,Region,,,,,,,,,,,,,,,,,,,Sum of Discount,,Category,,,
5,Pakistan,Katherinefurt,Massachusetts,East,Furniture,Chairs,discuss Thistle,1087.27,10,0.43,-70.64,6/22/2016,,,,Furniture,36866.11,,,,,,,,,,,,,West,Massachusetts,484.83,,,,,,,,,,,,Furniture,Storage,10.15%,,,,,,,,,,,,,,Furniture,Accessories,15,,,,,,,,,,,,,Order Date,Central,East,North,South,West,Grand Total,,,,,,,,,,,,,,Order Date,Region,Furniture,Office Supplies,Technology,Grand Total
6,Pakistan,New Johnport,Arizona,North,Furniture,Binders,usually AliceBlue,791.02,6,0.46,188.66,2/12/2016,,,,Office Supplies,30055.91,,,,,,,,,,,,,,Wisconsin,480.81,,,,,,,,,,,,,Art,6.66%,,,,,,,,,,,,,,,Art,25,,,,,,,,,,,,,1/1/2016,,,1076.39,,,1076.39,,,,,,,,,,,,,,8/15/2014,East,0.13,0.27,0.27,0.67
7,UAE,Bobbychester,Mississippi,West,Office Supplies,Tables,outside RosyBrown,876.6,7,0.46,168.89,8/15/2014,,,,Technology,42739.62,,,,,,,,,,,,,,South Dakota,478.38,,,,,,,,,,,,,Phones,4.62%,,,,,,,,,,,,,,,Binders,10,,,,,,,,,,,,,1/8/2016,800.21,,,,,800.21,,,,,,,,,,,,,,,West,0.46,0.46,,0.92
8,UK,South Christopher,South Dakota,West,Technology,Paper,while Blue,573.2,7,0.49,478.38,12/13/2016,,,,Grand Total,109661.64,,,,,,,,,,,,,West Total,,481.34,,,,,,,,,,,,,Chairs,4.43%,,,,,,,,,,,,,,,Chairs,30,,,,,,,,,,,,,1/10/2016,,,,486.44,,486.44,,,,,,,,,,,,,,8/15/2014 Total,,0.59,0.73,0.27,1.59
9,Canada,South Michaelchester,Wyoming,West,Technology,Chairs,spring LemonChiffon,1429.44,8,0.24,297.27,1/17/2016,,,,,,,,,,,,,,,,,,South,Tennessee,402.68,,,,,,,,,,,,,Accessories,3.31%,,,,,,,,,,,,,,,Paper,13,,,,,,,,,,,,,1/15/2016,,1779.82,136.37,,,1916.19,,,,,,,,,,,,,,3/7/2015,West,0.32,,,0.32
10,UK,Eatontown,Pennsylvania,East,Furniture,Tables,side DarkSlateGray,107.16,10,0.07,380.5,5/1/2016,,,,,,,,,,,,,,,,,,,Wyoming,396.86,,,,,,,,,,,,,Paper,1.78%,,,,,,,,,,,,,,,Phones,30,,,,,,,,,,,,,1/17/2016,,,,,1429.44,1429.44,,,,,,,,,,,,,,3/7/2015 Total,,0.32,,,0.32
11,India,South Andrewfort,Georgia,South,Technology,Paper,against DarkSlateBlue,486.44,2,0.41,-18.58,1/10/2016,,,,,,,,,,,,,,,,,,,Oregon,362.73,,,,,,,,,,,,,Binders,1.46%,,,,,,,,,,,,,,,Storage,59,,,,,,,,,,,,,1/18/2016,982.37,,,,,982.37,,,,,,,,,,,,,,5/5/2015,West,,,0.25,0.25
12,USA,New Jill,New Jersey,West,Technology,Tables,color Coral,692,3,0.25,35.62,5/5/2015,,,,,,,,,,,,,,,,,,South Total,,391.2375,,,,,,,,,,,,,Tables,1.21%,,,,,,,,,,,,,,,Tables,29,,,,,,,,,,,,,1/23/2016,,1329.61,,,1868.83,3198.44,,,,,,,,,,,,,,5/5/2015 Total,,,,0.25,0.25
13,UAE,Port Brianside,Kentucky,East,Technology,Tables,able LawnGreen,1483.26,7,0.16,324.41,3/27/2016,,,,,,,,,,,,,,,,,,North,Kentucky,317.35,,,,,,,,,,,,Furniture Total,,33.62%,,,,,,,,,,,,,,Furniture Total,,211,,,,,,,,,,,,,1/28/2016,,1383.65,,,,1383.65,,,,,,,,,,,,,,9/21/2015,West,,,0.12,0.12
14,Germany,Peckmouth,Virginia,South,Technology,Phones,product SkyBlue,115.55,10,0.45,292.8,6/13/2016,,,,,,,,,,,,,,,,,,,West Virginia,314.6,,,,,,,,,,,,Office Supplies,Paper,7.19%,,,,,,,,,,,,,,Office Supplies,Accessories,30,,,,,,,,,,,,,1/30/2016,,558.54,,,,558.54,,,,,,,,,,,,,,9/21/2015 Total,,,,0.12,0.12
